,Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,k2_label,k3_label,k4_label,k5_label,k6_label,k7_label,k8_label,k9_label,k10_label,k11_label,k12_label,k13_label,k14_label
132,7.9,3.8,6.4,2.0,1,2,2,4,0,5,5,6,5,10,10,9,11
133,6.4,2.8,5.6,2.2,1,2,2,2,4,3,2,2,1,7,2,7,8
134,6.3,2.8,5.1,1.5,1,0,1,1,1,1,1,5,3,2,1,1,6
135,6.1,2.6,5.6,1.4,1,2,2,2,4,3,2,2,1,7,2,7,8
136,7.7,3.0,6.1,2.3,1,2,2,4,0,5,5,6,5,10,10,9,11
137,6.3,3.4,5.6,2.4,1,2,2,2,4,3,2,2,9,6,3,5,4
138,6.4,3.1,5.5,1.8,1,2,2,2,4,3,2,2,1,7,2,7,8
139,6.0,3.0,4.8,1.8,1,0,1,1,1,1,1,5,3,2,1,1,6
140,6.9,3.1,5.4,2.1,1,2,2,2,4,3,2,2,9,6,3,5,4
141,6.7,3.1,5.6,2.4,1,2,2,2,4,3,2,2,9,6,3,5,4
142,6.9,3.1,5.1,2.3,1,2,2,2,4,3,2,2,9,6,3,5,4
143,5.8,2.7,5.1,1.9,1,0,1,1,1,1,1,5,3,2,1,1,6
144,6.8,3.2,5.9,2.3,1,2,2,2,4,3,2,2,9,6,3,5,4
145,6.7,3.3,5.7,2.5,1,2,2,2,4,3,2,2,9,6,3,5,4
146,6.7,3.0,5.2,2.3,1,2,2,2,4,3,2,2,9,6,3,5,4
147,6.3,2.5,5.0,1.9,1,0,1,1,1,1,1,5,3,2,1,1,6
148,6.5,3.0,5.2,2.0,1,2,2,2,4,3,2,2,1,7,2,7,8
149,6.2,3.4,5.4,2.3,1,2,2,2,4,3,2,2,9,6,3,5,4
150,5.9,3.0,5.1,1.8,1,0,1,1,1,1,1,5,3,2,1,1,6
